Country,Confirmed,Deaths
Afghanistan,157858,7322
Albania,203215,3130
Algeria,212434,6132
Andorra,19440,133
Angola,65371,1737
Antigua and Barbuda,4159,117
Argentina,5354440,116748
Armenia,342115,7767
Australia,2196,15
Australia,85447,637
Australia,307,1
Australia,2167,7
Australia,991,4
Australia,240,13
Australia,134911,1414
Australia,1123,9
Austria,1221095,13076
Azerbaijan,602137,8055
Bahamas,22881,708
Bahrain,277997,1394
Bangladesh,1578819,28017
Barbados,26668,249
Belarus,671432,5245
Belgium,279265,0
Belgium,224906,0
Belgium,239386,0
Belgium,166092,0
Belgium,232721,0
Belgium,212029,0
Belgium,127225,0
Belgium,51543,0
Belgium,92970,0
Belgium,31415,27504
Belgium,72660,0
Belgium,199560,0
Belize,31033,586
Benin,24897,161
Bhutan,2649,3
Bolivia,549638,19281
Bosnia and Herzegovina,280980,12918
Botswana,196090,2421
Brazil,88264,1849
Brazil,241772,6365
Brazil,125252,2005
Brazil,431086,13812
Brazil,1264804,27370
Brazil,952894,24709
Brazil,518309,11052
Brazil,624058,13234
Brazil,942610,24601
Brazil,366930,10333
Brazil,550879,13759
Brazil,379448,9703
Brazil,2213520,56386
Brazil,613978,16965
Brazil,462450,9555
Brazil,1586082,40819
Brazil,642881,20301
Brazil,333318,7220
Brazil,384052,7514
Brazil,1497889,36262
Brazil,1349385,69224
Brazil,280495,6671
Brazil,128717,2061
Brazil,1237060,20073
Brazil,4448466,154638
Brazil,278347,6049
Brazil,234113,3927
Brunei,15283,98
Bulgaria,713083,29459
Burkina Faso,16334,290
Burma,526024,19170
Burundi,20666,38
Cabo Verde,38489,351
Cambodia,120327,2978
Cameroon,107549,1823
Canada,338428,3272
Canada,222013,2381
Canada,0,1
Canada,13,0
Canada,69507,1345
Canada,9366,139
Canada,2078,18
Canada,2070,12
Canada,8591,110
Canada,676,4
Canada,637761,10117
Canada,397,0
Canada,460430,11603
Canada,13,0
Canada,81646,937
Canada,1580,14
Central African Republic,11912,101
Chad,5703,181
Chile,65861,1275
Chile,102336,1540
Chile,28651,542
Chile,30085,375
Chile,10005,87
Chile,163481,2768
Chile,53715,1069
Chile,96573,1450
Chile,52459,708
Chile,29776,502
Chile,108526,1832
Chile,745799,19776
Chile,38750,664
Chile,72599,1614
Chile,44355,818
Chile,46,0
Chile,135353,3580
China,1008,6
China,1196,9
China,610,6
China,1330,1
China,344,2
China,3333,8
China,478,2
China,159,2
China,190,6
China,1458,7
China,2033,13
China,1637,22
China,12482,213
China,68315,4512
China,1199,4
China,1148,1
China,1620,0
China,959,1
China,585,3
China,787,2
China,77,0
China,122,0
China,30,0
China,719,3
China,1033,7
China,2905,7
China,265,0
China,1296,3
China,537,3
China,1,0
China,0,0
China,981,3
China,1763,2
China,1563,1
Colombia,6938,257
Colombia,774874,16682
Colombia,14238,476
Colombia,340613,9709
Colombia,160988,3038
Colombia,106548,2577
Colombia,101396,2288
Colombia,1466026,27659
Colombia,23024,942
Colombia,36010,936
Colombia,57141,1590
Colombia,92325,2537
Colombia,16534,403
Colombia,104656,3741
Colombia,266568,6849
Colombia,2528,30
Colombia,5162,97
Colombia,89217,3167
Colombia,46339,1412
Colombia,100590,3455
Colombia,90379,2286
Colombia,90628,3045
